Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Enqueue Kernel Exec Time,531.106,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,486.815,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,133.265,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,5260.72,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2935.85,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1074.41,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,983.763,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,266.507,536870912,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.21334,1024,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.097756,1024,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.591104,1024,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004384,1024,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036864,1024,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.308217,2048,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.053868,2048,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.175297,2048,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00384,2048,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036929,2048,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.321736,4096,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.043559,4096,1024,NVIDIA GeForce RTX 2080 Ti
